Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,data_source,simulated_weekly_score,simulated_weight_diff
56.0,Male,88.3,1.71,180,157.0,60.0,1.69,1313.0,Yoga,12.6,3.5,4.0,3.0,30.2,real,77.16714153011233,-1.5388946390909974
46.0,Female,74.9,1.53,179,151.0,66.0,1.3,883.0,HIIT,33.9,2.1,4.0,2.0,32.0,real,43.11735698828815,-0.6929229977136837
32.0,Female,68.1,1.66,167,122.0,54.0,1.11,677.0,Cardio,33.4,2.3,4.0,2.0,24.71,real,61.47688538100692,-0.5279003946957367
25.0,Male,53.2,1.7,190,164.0,56.0,0.59,532.0,Strength,28.8,2.1,3.0,1.0,18.41,real,40.23029856408026,-0.5049438019963041
38.0,Male,46.1,1.79,188,158.0,68.0,0.64,556.0,Strength,29.2,2.8,3.0,1.0,14.39,real,22.65846625276664,-0.49319795669662303
56.0,Female,58.0,1.68,168,156.0,74.0,1.59,1116.0,HIIT,15.5,2.7,5.0,3.0,20.55,real,82.6586304305082,-0.3494113598881031
36.0,Male,70.3,1.72,174,169.0,73.0,1.49,1385.0,Cardio,21.3,2.3,3.0,2.0,23.76,real,65.79212815507391,0.08355321446885117
40.0,Female,69.7,1.51,189,141.0,64.0,1.27,895.0,Cardio,30.6,1.9,3.0,2.0,30.57,real,49.319347291529084,0.39961365930601805
28.0,Male,121.7,1.94,185,127.0,52.0,1.03,719.0,Strength,28.9,2.6,4.0,2.0,32.34,real,39.29525614065047,-0.8198121814786137
28.0,Male,101.8,1.84,169,136.0,64.0,1.08,808.0,Cardio,29.7,2.7,3.0,1.0,30.07,real,22.820600435859646,-1.2625606843113155
41.0,Male,120.8,1.67,188,146.0,54.0,0.82,593.0,HIIT,20.5,3.0,2.0,1.0,43.31,real,0.0,-1.1336355297944825
53.0,Male,51.7,1.7,175,152.0,72.0,1.15,865.0,HIIT,23.6,3.5,3.0,2.0,17.89,real,45.34270246429743,-0.6897623369559418
57.0,Male,112.5,1.61,195,165.0,61.0,1.24,1013.0,Cardio,22.1,2.7,3.0,2.0,43.4,real,24.819622715660344,-0.5815370542532072
41.0,Male,94.5,2.0,179,136.0,69.0,1.18,794.0,HIIT,27.6,3.7,3.0,1.0,23.62,real,5.86719755342202,-0.9159968529579658
20.0,Male,117.7,1.81,196,161.0,54.0,1.35,1195.0,Yoga,26.4,3.3,3.0,2.0,35.93,real,16.355821674869677,-1.3368933313999156
39.0,Female,42.5,1.75,181,131.0,52.0,1.13,740.0,Strength,26.2,2.1,2.0,1.0,13.88,real,14.377124707590273,-0.6648966619793506
19.0,Female,64.0,1.53,166,167.0,58.0,1.33,1111.0,HIIT,29.8,2.3,3.0,2.0,27.34,real,36.36168879665576,-0.1548587039088229
41.0,Female,43.8,1.77,182,165.0,58.0,1.19,884.0,Cardio,31.9,1.6,3.0,1.0,13.98,real,28.14247332595274,0.1760235726684518
47.0,Female,66.8,1.75,199,146.0,56.0,1.13,742.0,Strength,32.8,2.5,3.0,2.0,21.81,real,40.91975924478789,-0.745938442486657
55.0,Female,75.2,1.67,188,167.0,51.0,1.37,1030.0,HIIT,25.2,2.2,2.0,1.0,26.96,real,2.9369629866470834,-0.6303982577147473
19.0,Male,89.0,1.77,175,127.0,72.0,1.5,1048.0,Strength,28.9,3.7,4.0,2.0,28.41,real,64.54148768921554,-1.0413586470778486
38.0,Male,71.9,1.77,197,142.0,72.0,1.12,875.0,Cardio,25.7,3.1,2.0,1.0,22.95,real,17.742236995134643,-0.3251513362998211
50.0,Female,71.0,1.68,187,161.0,70.0,1.17,848.0,Yoga,33.1,2.5,2.0,1.0,25.16,real,20.435282046879237,-0.9787429073526517
29.0,Male,120.9,1.78,197,168.0,65.0,0.78,721.0,Yoga,28.1,3.4,2.0,1.0,38.16,real,0.0,0.15850225059296014
39.0,Female,64.3,1.69,190,148.0,58.0,1.25,925.0,HIIT,26.9,1.9,4.0,2.0,22.51,real,49.556172754748175,-1.7286931935472891
42.0,Female,63.7,1.71,173,169.0,62.0,1.42,1080.0,Yoga,26.1,1.8,3.0,2.0,21.78,real,51.10922589709866,-0.58770373796197
44.0,Male,65.2,1.8,192,139.0,68.0,0.73,502.0,HIIT,27.2,2.7,2.0,1.0,20.12,real,8.490064225776973,-0.05911412864660631
59.0,Male,53.9,1.75,168,135.0,69.0,1.48,989.0,Strength,21.6,2.8,4.0,2.0,17.6,real,58.75698018345672,-0.15293238694199648
45.0,Male,84.9,1.86,186,136.0,66.0,1.64,1104.0,HIIT,14.2,3.5,5.0,3.0,24.54,real,78.99361310081196,1.8544269311843975
33.0,Female,78.0,1.68,183,135.0,55.0,1.29,871.0,HIIT,32.3,1.8,3.0,2.0,27.64,real,43.12306250206723,-0.020159980345673956
32.0,Male,108.2,1.8,172,138.0,53.0,1.27,964.0,HIIT,28.4,3.5,3.0,1.0,33.4,real,6.382933877706033,-1.1032436774736083
20.0,Female,65.4,1.52,185,127.0,50.0,1.03,654.0,Yoga,28.0,2.2,4.0,2.0,28.31,real,68.55778184508938,-0.37637139767125843
54.0,Female,50.2,1.61,188,157.0,67.0,1.48,1046.0,HIIT,28.2,2.7,2.0,1.0,19.37,real,19.865027752620662,-1.7209970667731616
24.0,Female,58.9,1.51,187,157.0,68.0,1.04,816.0,Cardio,31.7,2.5,2.0,1.0,25.83,real,8.177890710440998,-0.3644797994374087
38.0,Male,81.4,1.71,187,148.0,58.0,1.52,1237.0,HIIT,10.2,3.5,5.0,3.0,27.84,real,88.96544912103188,-0.966444845600607
26.0,Male,127.6,1.73,167,160.0,62.0,1.32,1162.0,Strength,27.3,2.9,3.0,1.0,42.63,real,0.0,0.4323122204481294
56.0,Female,59.3,1.56,182,155.0,57.0,1.26,879.0,Cardio,33.4,2.6,4.0,2.0,24.37,real,57.08863595004755,-0.739632219676428
35.0,Male,96.9,1.71,188,145.0,72.0,1.34,1069.0,Strength,24.2,2.9,3.0,2.0,33.14,real,18.193298761202243,-0.3934127326361973
21.0,Male,62.6,1.81,164,150.0,62.0,1.3,1072.0,Strength,27.6,3.5,4.0,2.0,19.11,real,41.71813951101569,-0.8084462731235227
42.0,Male,45.5,1.6,166,163.0,64.0,1.31,1057.0,Strength,21.7,2.6,3.0,2.0,17.77,real,51.96861235869123,1.091081081482665
31.0,Female,48.8,1.51,195,131.0,60.0,1.48,969.0,Cardio,28.2,2.0,2.0,1.0,21.4,real,27.384665799954107,-0.5569942128943294
26.0,Female,44.3,1.6,186,136.0,61.0,1.08,734.0,Cardio,34.7,2.0,3.0,1.0,17.3,real,26.713682811899705,1.1660456347833614
43.0,Male,113.2,1.83,161,134.0,63.0,1.45,962.0,Yoga,29.9,2.9,4.0,2.0,33.8,real,40.6435171761176,0.3513214096946133
19.0,Female,60.5,1.59,184,128.0,53.0,1.14,730.0,Cardio,30.1,2.2,2.0,1.0,23.93,real,16.988963044107113,0.08565338186830895
37.0,Male,124.2,1.76,168,158.0,50.0,1.5,1304.0,HIIT,29.3,2.8,2.0,1.0,40.1,real,0.0,-0.005013482145984183
45.0,Male,52.4,1.85,186,161.0,73.0,1.2,956.0,Strength,25.2,2.5,3.0,1.0,15.31,real,17.801557916052914,0.015037838573001283
